BatchSize,HiddenNodes,WeightNonbinding,WeightBinding,LearningRate,Epochs,Momentum,BestCutoff,TruePositives,FalsePositives,TrueNegatives,FalseNegatives,MCC
500,20,0.1,0.1,0.005,20,0.1,0.19,261,980,15472,1188,0.12945313667708472
500,20,0.1,0.1,0.005,20,0.2,0.17,399,1551,14901,1050,0.158533888334342
500,20,0.1,0.1,0.005,20,0.3,0.17,362,1239,15213,1087,0.166798827920176
500,20,0.1,0.1,0.005,20,0.4,0.13,635,3108,13344,814,0.16722064810016085
500,20,0.1,0.1,0.005,20,0.5,0.14,597,2484,13968,852,0.18860507100102988
500,20,0.1,0.1,0.005,20,0.6,0.15,591,2340,14112,858,0.19579920568050632
500,20,0.1,0.1,0.005,20,0.7,0.16,530,1998,14454,919,0.191356899834528
500,20,0.1,0.1,0.005,20,0.8,0.17,468,1558,14894,981,0.19653410619113112
500,20,0.1,0.1,0.005,20,0.9,0.17,470,1553,14899,979,0.19811208854783607
500,20,0.1,0.1,0.005,80,0.1,0.22,247,498,15954,1202,0.19146182979267765
500,20,0.1,0.1,0.005,80,0.2,0.21,265,556,15896,1184,0.19439047782703114
500,20,0.1,0.1,0.005,80,0.3,0.14,635,2738,13714,814,0.18958215465117648
500,20,0.1,0.1,0.005,80,0.4,0.15,596,2421,14031,853,0.19247206207968293
500,20,0.1,0.1,0.005,80,0.5,0.18,484,1615,14837,965,0.1999557723990305
500,20,0.1,0.1,0.005,80,0.6,0.15,624,2495,13957,825,0.20061139666756408
500,20,0.1,0.1,0.005,80,0.7,0.2,384,1093,15359,1065,0.1968510136711591
500,20,0.1,0.1,0.005,80,0.8,0.21,335,767,15685,1114,0.20944995579267084
500,20,0.1,0.1,0.005,80,0.9,0.21,319,717,15735,1130,0.2062474761658862
500,20,0.1,0.1,0.005,140,0.1,0.21,310,730,15722,1139,0.19771154799562798
500,20,0.1,0.1,0.005,140,0.2,0.21,349,823,15629,1100,0.21042372078673546
500,20,0.1,0.1,0.005,140,0.3,0.16,554,1997,14455,895,0.20360579512431845
500,20,0.1,0.1,0.005,140,0.4,0.2,373,997,15455,1076,0.20192929907440726
500,20,0.1,0.1,0.005,140,0.5,0.18,469,1476,14976,980,0.2050481439571249
500,20,0.1,0.1,0.005,140,0.6,0.17,485,1746,14706,964,0.18876009250516004
500,20,0.1,0.1,0.005,140,0.7,0.25,260,466,15986,1189,0.20893825529116258
500,20,0.1,0.1,0.005,140,0.8,0.2,384,1030,15422,1065,0.20467607102717944
500,20,0.1,0.1,0.005,140,0.9,0.21,354,901,15551,1095,0.2024743412589698
500,20,0.1,0.1,0.005,200,0.1,0.21,337,873,15579,1112,0.1950294054133491
500,20,0.1,0.1,0.005,200,0.2,0.17,485,1678,14774,964,0.19474847532941889
500,20,0.1,0.1,0.005,200,0.3,0.22,283,620,15832,1166,0.19643407195053378
500,20,0.1,0.1,0.005,200,0.4,0.14,649,2638,13814,800,0.20256867620057675
500,20,0.1,0.1,0.005,200,0.5,0.28,151,148,16304,1298,0.20264105882517083
500,20,0.1,0.1,0.005,200,0.6,0.21,350,893,15559,1099,0.2009357859616679
500,20,0.1,0.1,0.005,200,0.7,0.15,543,2044,14408,906,0.1943168441404978
500,20,0.1,0.1,0.005,200,0.8,0.19,435,1235,15217,1014,0.2111376454636675
500,20,0.1,0.1,0.005,200,0.9,0.2,389,992,15460,1060,0.21278848110257914
500,20,0.1,0.1,0.005,260,0.1,0.18,455,1402,15050,994,0.20465493028330398
500,20,0.1,0.1,0.005,260,0.2,0.28,183,246,16206,1266,0.19856389794395823
500,20,0.1,0.1,0.005,260,0.3,0.21,341,798,15654,1108,0.20876866444013006
500,20,0.1,0.1,0.005,260,0.4,0.22,320,747,15705,1129,0.20211066247387666
500,20,0.1,0.1,0.005,260,0.5,0.2,392,1031,15421,1057,0.20958907569484103
500,20,0.1,0.1,0.005,260,0.6,0.25,248,437,16015,1201,0.20557560933383826
500,20,0.1,0.1,0.005,260,0.7,0.19,423,1228,15224,1026,0.2048194714595596
500,20,0.1,0.1,0.005,260,0.8,0.21,352,865,15587,1097,0.206252240842735
500,20,0.1,0.1,0.005,260,0.9,0.26,228,360,16092,1221,0.20730301664411643
500,20,0.1,0.1,0.005,320,0.1,0.21,346,840,15612,1103,0.20586213678950646
500,20,0.1,0.1,0.005,320,0.2,0.21,361,943,15509,1088,0.20131760132059368
500,20,0.1,0.1,0.005,320,0.3,0.16,533,1823,14629,916,0.20737142077345766
500,20,0.1,0.1,0.005,320,0.4,0.21,344,796,15656,1105,0.21113165473790937
500,20,0.1,0.1,0.005,320,0.5,0.22,311,657,15795,1138,0.21067981525530036
500,20,0.1,0.1,0.005,320,0.6,0.2,378,1027,15425,1071,0.2012599721010298
500,20,0.1,0.1,0.005,320,0.7,0.22,330,740,15712,1119,0.21027478620743578
500,20,0.1,0.1,0.005,320,0.8,0.22,324,681,15771,1125,0.2158933169112104
500,20,0.1,0.1,0.005,320,0.9,0.31,171,191,16261,1278,0.20617702765712867
500,20,0.1,0.1,0.005,380,0.1,0.18,425,1314,15138,1024,0.19656941619082954
500,20,0.1,0.1,0.005,380,0.2,0.22,316,717,15735,1133,0.20410671182340773
500,20,0.1,0.1,0.005,380,0.3,0.19,425,1238,15214,1024,0.2048803103779029
500,20,0.1,0.1,0.005,380,0.4,0.25,253,447,16005,1196,0.207449810619862
500,20,0.1,0.1,0.005,380,0.5,0.27,219,328,16124,1230,0.20791714779634016
500,20,0.1,0.1,0.005,380,0.6,0.19,413,1172,15280,1036,0.2052591719854292
500,20,0.1,0.1,0.005,380,0.7,0.3,163,173,16279,1286,0.20494981058725467
500,20,0.1,0.1,0.005,380,0.8,0.23,313,706,15746,1136,0.20376865174105968
500,20,0.1,0.1,0.005,380,0.9,0.31,187,231,16221,1262,0.20772889038006412
500,20,0.1,0.1,0.001,20,0.1,0.18,1443,16323,129,6,0.01166561508127376
500,20,0.1,0.1,0.001,20,0.2,0.27,1122,10685,5767,327,0.07187086366000682
500,20,0.1,0.1,0.001,20,0.3,0.16,1378,15597,855,71,0.0036576128259718918
500,20,0.1,0.1,0.001,20,0.4,0.18,1262,12488,3964,187,0.07231069903026793
500,20,0.1,0.1,0.001,20,0.5,0.14,1437,16218,234,12,0.013920251850213604
500,20,0.1,0.1,0.001,20,0.6,0.13,1393,15428,1024,56,0.02702796853981312
500,20,0.1,0.1,0.001,20,0.7,0.17,455,3836,12616,994,0.051653119728654225
500,20,0.1,0.1,0.001,20,0.8,0.12,868,6772,9680,581,0.10334743792503341
500,20,0.1,0.1,0.001,20,0.9,0.15,578,2547,13905,871,0.17537814140138505
500,20,0.1,0.1,0.001,80,0.1,0.12,942,8366,8086,507,0.07730143264660796
500,20,0.1,0.1,0.001,80,0.2,0.16,446,2130,14322,1003,0.13857888747269312
500,20,0.1,0.1,0.001,80,0.3,0.18,93,250,16202,1356,0.09746195953201701
500,20,0.1,0.1,0.001,80,0.4,0.19,265,739,15713,1184,0.16354775179592038
500,20,0.1,0.1,0.001,80,0.5,0.15,496,2047,14405,953,0.17022577968935845
500,20,0.1,0.1,0.001,80,0.6,0.16,485,1763,14689,964,0.18729659081114064
500,20,0.1,0.1,0.001,80,0.7,0.11,797,4315,12137,652,0.17376198303073562
500,20,0.1,0.1,0.001,80,0.8,0.12,739,3617,12835,710,0.1844337847068762
500,20,0.1,0.1,0.001,80,0.9,0.16,535,1985,14467,914,0.19493639661489842
500,20,0.1,0.1,0.001,140,0.1,0.14,542,2658,13794,907,0.15126343187379776
500,20,0.1,0.1,0.001,140,0.2,0.12,728,3817,12635,721,0.16945587613865976
500,20,0.1,0.1,0.001,140,0.3,0.14,586,2306,14146,863,0.19583305424459674
500,20,0.1,0.1,0.001,140,0.4,0.15,570,2256,14196,879,0.1916859275173396
500,20,0.1,0.1,0.001,140,0.5,0.12,689,3412,13040,760,0.17400861299424672
500,20,0.1,0.1,0.001,140,0.6,0.15,545,2076,14376,904,0.1928312926918804
500,20,0.1,0.1,0.001,140,0.7,0.15,575,2340,14112,874,0.1880739407856256
500,20,0.1,0.1,0.001,140,0.8,0.15,562,2070,14382,887,0.2018140958349598
500,20,0.1,0.1,0.001,140,0.9,0.17,498,1757,14695,951,0.1947219546318546
500,20,0.1,0.1,0.001,200,0.1,0.13,661,3141,13311,788,0.17689323611352853
500,20,0.1,0.1,0.001,200,0.2,0.14,505,2006,14446,944,0.17796454047707255
500,20,0.1,0.1,0.001,200,0.3,0.13,637,2935,13517,812,0.17827040787224568
500,20,0.1,0.1,0.001,200,0.4,0.14,617,2554,13898,832,0.19329738057596027
500,20,0.1,0.1,0.001,200,0.5,0.13,648,2920,13532,801,0.18415097754173382
500,20,0.1,0.1,0.001,200,0.6,0.14,638,2683,13769,811,0.19451804056274932
500,20,0.1,0.1,0.001,200,0.7,0.23,260,514,15938,1189,0.19872672056085597
500,20,0.1,0.1,0.001,200,0.8,0.19,406,1268,15184,1043,0.1902832416944816
500,20,0.1,0.1,0.001,200,0.9,0.22,322,795,15657,1127,0.19609583889284302
500,20,0.1,0.1,0.001,260,0.1,0.14,639,2747,13705,810,0.19084416764331347
500,20,0.1,0.1,0.001,260,0.2,0.15,531,1934,14518,918,0.1970163382177388
500,20,0.1,0.1,0.001,260,0.3,0.14,610,2612,13840,839,0.1861616536481627
500,20,0.1,0.1,0.001,260,0.4,0.14,639,2861,13591,810,0.1836865093808378
500,20,0.1,0.1,0.001,260,0.5,0.19,418,1232,15220,1031,0.2013923858560196
500,20,0.1,0.1,0.001,260,0.6,0.18,447,1410,15042,1002,0.19928137825899458
500,20,0.1,0.1,0.001,260,0.7,0.19,415,1256,15196,1034,0.19694353317258925
500,20,0.1,0.1,0.001,260,0.8,0.22,292,639,15813,1157,0.1998281533883919
500,20,0.1,0.1,0.001,260,0.9,0.2,406,1155,15297,1043,0.2030077527936917
500,20,0.1,0.1,0.001,320,0.1,0.14,611,2697,13755,838,0.1811207059042233
500,20,0.1,0.1,0.001,320,0.2,0.11,883,5150,11302,566,0.1710010617852833
500,20,0.1,0.1,0.001,320,0.3,0.12,745,3734,12718,704,0.18084447336931295
500,20,0.1,0.1,0.001,320,0.4,0.19,373,1017,15435,1076,0.19935371691421425
500,20,0.1,0.1,0.001,320,0.5,0.2,251,490,15962,1198,0.19640111671189353
